   mjd  ,   a1   ,   a2   ,   a3   ,   b1   ,   b2   ,   b3   ,   c
        ,   a    ,   a    ,   a    ,   b    ,   b    ,   b    ,   c  
 0.00000, 0.00000,-0.00004,-0.00033,-0.00001,-0.00002,-0.00015, 0.00000
 0.02000, 0.06055, 0.02128, 0.02022, 0.03209, 0.02926, 0.01644, 0.03000
 0.04000, 0.12401, 0.05229, 0.07401, 0.07221, 0.05825, 0.05204, 0.02900
 0.06000, 0.17609, 0.09355, 0.11983, 0.11233, 0.11297, 0.10324, 0.04500
 0.08000, 0.23211, 0.13871, 0.17642, 0.15445, 0.17078, 0.15417, 0.08400
 0.10000, 0.28972, 0.19318, 0.22935, 0.20761, 0.21872, 0.20725, 0.10000
 0.12000, 0.33749, 0.23572, 0.27971, 0.25575, 0.28556, 0.24951, 0.13300
 0.14000, 0.38350, 0.27462, 0.32425, 0.29788, 0.33403, 0.29439, 0.16000
 0.16000, 0.42553, 0.32910, 0.37264, 0.34301, 0.38176, 0.33487, 0.21500
 0.18000, 0.46295, 0.36469, 0.41108, 0.38313, 0.43903, 0.37960, 0.22400
 0.20000, 0.50498, 0.40654, 0.45582, 0.42024, 0.49228, 0.41795, 0.27000
 0.22000, 0.53522, 0.44726, 0.49619, 0.45134, 0.53447, 0.44598, 0.30000
 0.24000, 0.56470, 0.47812, 0.53226, 0.48644, 0.56719, 0.47354, 0.35800
 0.26000, 0.59252, 0.50072, 0.57197, 0.51352, 0.60092, 0.50491, 0.38700
 0.28000, 0.61842, 0.53345, 0.61270, 0.54161, 0.65041, 0.52863, 0.43100
 0.30000, 0.65059, 0.55413, 0.64631, 0.56633, 0.68104, 0.56058, 0.48500
 0.32000, 0.67501, 0.58064, 0.66954, 0.59175, 0.71525, 0.58864, 0.54300
 0.34000, 0.70050, 0.61104, 0.70154, 0.61081, 0.74605, 0.61474, 0.59100
 0.36000, 0.72643, 0.63136, 0.72981, 0.63490, 0.77058, 0.63454, 0.62400
 0.38000, 0.76215, 0.65468, 0.75820, 0.66424, 0.79168, 0.65876, 0.68900
 0.40000, 0.78396, 0.67927, 0.78449, 0.68073, 0.80932, 0.67799, 0.73300
 0.42000, 0.80784, 0.70241, 0.81026, 0.69658, 0.82483, 0.70153, 0.77600
 0.44000, 0.82596, 0.71852, 0.83447, 0.71306, 0.84794, 0.72657, 0.83700
 0.46000, 0.83827, 0.74267, 0.85099, 0.73217, 0.86803, 0.74528, 0.86400
 0.48000, 0.85455, 0.76413, 0.87238, 0.75624, 0.89016, 0.77313, 0.91200
 0.50000, 0.87257, 0.77734, 0.89071, 0.77530, 0.91023, 0.79640, 0.91900
 0.52000, 0.88600, 0.78581, 0.90089, 0.79373, 0.92128, 0.80653, 0.94300
 0.54000, 0.89406, 0.79843, 0.91515, 0.80512, 0.92760, 0.82172, 0.96600
 0.56000, 0.89614, 0.82133, 0.92693, 0.81843, 0.93173, 0.82821, 0.97600
 0.58000, 0.90256, 0.83791, 0.92879, 0.83648, 0.93434, 0.84557, 0.99100
 0.60000, 0.90029, 0.85206, 0.93564, 0.85755, 0.94238, 0.85208, 0.99300
 0.62000, 0.90426, 0.86275, 0.93653, 0.86256, 0.95142, 0.86524, 0.99300
 0.64000, 0.90600, 0.87732, 0.93748, 0.85955, 0.95745, 0.87215, 1.00000
 0.66000, 0.90431, 0.88759, 0.93537, 0.85353, 0.96348, 0.88649, 0.99300
 0.68000, 0.90410, 0.89262, 0.93802, 0.85454, 0.97051, 0.91510, 0.98200
 0.70000, 0.90625, 0.89061, 0.93606, 0.86657, 0.97654, 0.93299, 0.95700
 0.72000, 0.90596, 0.89144, 0.93303, 0.87861, 0.97955, 0.95812, 0.93400
 0.74000, 0.90000, 0.89363, 0.92941, 0.89365, 0.99116, 0.97001, 0.88400
 0.76000, 0.88975, 0.90515, 0.93524, 0.91359, 1.00000, 0.98467, 0.83000
 0.78000, 0.89584, 0.92583, 0.96000, 0.94955, 0.99250, 1.00000, 0.73500
 0.80000, 0.92562, 0.95875, 0.98734, 0.97635, 0.98738, 0.99581, 0.66100
 0.82000, 0.94823, 0.97310, 1.00000, 0.99295, 0.96147, 0.98743, 0.49900
 0.84000, 0.98372, 0.99205, 0.99828, 1.00000, 0.92906, 0.93243, 0.39900
 0.86000, 1.00000, 1.00000, 0.98098, 0.95484, 0.86168, 0.79568, 0.28500
 0.88000, 0.97709, 0.96714, 0.92673, 0.82330, 0.74103, 0.63721, 0.19600
 0.90000, 0.89408, 0.86563, 0.81943, 0.61538, 0.60480, 0.49776, 0.17400
 0.92000, 0.73213, 0.69314, 0.64581, 0.42393, 0.44558, 0.35406, 0.10900
 0.94000, 0.46842, 0.45374, 0.43408, 0.27882, 0.27047, 0.22621, 0.08100
 0.96000, 0.19231, 0.26229, 0.23943, 0.14242, 0.12892, 0.09652, 0.02800
 0.98000, 0.03941, 0.09962, 0.04531, 0.05841, 0.04533, 0.03263, 0.02700
 1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
