# This file contains third-party licenses that cannot be determined automatically by the license tool used in this project.
# For each dependency and its license a single line is to be added in the format:
"Name","Version","License","URL"
"mlcvzoo-base",5.7.2,"Open Logistics Foundation License 1.3","https://git.openlogisticsfoundation.org/silicon-economy/base/ml-toolbox/mlcvzoo"
"yaml-config-builder",8.3.0,"Open Logistics License","https://git.openlogisticsfoundation.org/silicon-economy/base/ml-toolbox/config-builder"
