# This file has been generated by fmt_an.py
#
# an: [mumol CO2 m-2 s-1] photosynthetic rate
#
when;rootstock;date;an
fall;berlandieri;2006-09-19 05:01:17;-0.18528317365825941
fall;berlandieri;2006-09-19 08:01:05;2.061867423906101
fall;berlandieri;2006-09-19 09:48:06;12.134250825876975
fall;berlandieri;2006-09-19 10:51:04;6.980981783548842
fall;berlandieri;2006-09-19 14:01:09;6.770909016506014
fall;berlandieri;2006-09-19 15:15:56;7.053122433460118
fall;berlandieri;2006-09-19 17:01:13;5.76602793624215
fall;riparia;2006-09-19 05:01:17;-0.7804813850510897
fall;riparia;2006-09-19 08:03:18;1.5372664796659983
fall;riparia;2006-09-19 09:45:41;8.435471574759067
fall;riparia;2006-09-19 10:53:05;7.991210317598991
fall;riparia;2006-09-19 14:01:59;6.02112117835186
fall;riparia;2006-09-19 15:14:37;5.452957153335449
fall;riparia;2006-09-19 17:03:23;5.02491831885607
spring;berlandieri;2006-06-21 04:33:53;-1.2024569301218833
spring;berlandieri;2006-06-21 08:28:29;11.894548049646684
spring;berlandieri;2006-06-21 09:43:32;15.637849483683713
spring;berlandieri;2006-06-21 11:53:29;7.546077416652423
spring;berlandieri;2006-06-21 13:15:29;8.61689107341734
spring;berlandieri;2006-06-21 14:34:50;9.76558676395534
spring;berlandieri;2006-06-21 16:14:02;9.759377220656775
spring;berlandieri;2006-06-21 17:51:54;9.732620843176898
spring;berlandieri;2006-06-21 20:30:37;-1.9323417451882854
spring;riparia;2006-06-21 04:33:53;-1.9483466243944427
spring;riparia;2006-06-21 08:27:39;13.668005815789611
spring;riparia;2006-06-21 09:45:41;15.329649910740661
spring;riparia;2006-06-21 11:53:58;7.049382302575236
spring;riparia;2006-06-21 13:16:19;5.7950824841439275
spring;riparia;2006-06-21 14:33:31;6.1687457392071
spring;riparia;2006-06-21 16:16:11;6.983920090343451
spring;riparia;2006-06-21 17:49:45;8.646281490805144
spring;riparia;2006-06-21 20:26:19;-1.739059512670135
