# This file has been generated by fmt_wp_leaf.py
#
# wp: [MPa] leaf water potential
#
when;rootstock;date;wp
fall;berlandieri;2006-09-19 04:04:11;-0.1603971230214951
fall;berlandieri;2006-09-19 08:59:15;-0.7851198246821164
fall;berlandieri;2006-09-19 10:54:17;-1.428672125405979
fall;berlandieri;2006-09-19 14:57:47;-1.514299003201939
fall;berlandieri;2006-09-19 16:29:23;-1.4205539485207315
fall;berlandieri;2006-09-19 17:45:50;-1.1991876227781604
fall;riparia;2006-09-19 03:56:43;-0.17618960591177601
fall;riparia;2006-09-19 08:59:59;-0.6327567952518616
fall;riparia;2006-09-19 10:57:17;-1.2822994749728363
fall;riparia;2006-09-19 14:59:01;-1.4204147933518434
fall;riparia;2006-09-19 16:26:10;-1.2787795505328283
fall;riparia;2006-09-19 17:45:07;-1.1089140507486175
spring;berlandieri;2006-06-21 04:13:33;-0.07492982719283035
spring;berlandieri;2006-06-21 08:27:11;-0.4749316859165129
spring;berlandieri;2006-06-21 10:17:22;-0.7447659754306429
spring;berlandieri;2006-06-21 12:10:49;-0.9108270319167286
spring;berlandieri;2006-06-21 14:15:49;-1.0379604742408923
spring;berlandieri;2006-06-21 16:02:28;-0.9571102097152899
spring;berlandieri;2006-06-21 18:11:23;-0.9584948247240332
spring;berlandieri;2006-06-21 20:22:35;-0.2614795373445132
spring;riparia;2006-06-21 04:13:33;-0.07252743641428432
spring;riparia;2006-06-21 08:28:26;-0.5368915691982468
spring;riparia;2006-06-21 10:17:22;-0.8488932090907492
spring;riparia;2006-06-21 12:11:34;-1.0506484670152476
spring;riparia;2006-06-21 14:16:19;-1.075052435888524
spring;riparia;2006-06-21 16:01:13;-1.1044478634953327
spring;riparia;2006-06-21 18:13:09;-1.102109895696379
spring;riparia;2006-06-21 20:24:20;-0.26633574997752035
