# This file has been generated by fmt_vpd_leaf.py
#
# vpd: [kPa] vapor pressure deficit between leaf and atmosphere
#
when;rootstock;date;vpd
fall;berlandieri;2006-09-19 05:08:31;1.4392281512885443
fall;berlandieri;2006-09-19 08:09:51;1.3136958752803087
fall;berlandieri;2006-09-19 09:43:16;1.8060607570003135
fall;berlandieri;2006-09-19 10:59:16;1.9980085872558329
fall;berlandieri;2006-09-19 12:15:31;2.552680440742508
fall;berlandieri;2006-09-19 14:03:06;2.4780734377273603
fall;berlandieri;2006-09-19 15:16:43;2.6429421163787223
fall;berlandieri;2006-09-19 17:02:59;2.4631770323029185
fall;riparia;2006-09-19 05:08:31;1.4621544981730459
fall;riparia;2006-09-19 08:08:20;1.3329051507026772
fall;riparia;2006-09-19 09:41:51;1.8405286275984096
fall;riparia;2006-09-19 11:00:30;2.1111571943026206
fall;riparia;2006-09-19 12:15:37;2.6927070362734575
fall;riparia;2006-09-19 14:04:36;2.4503987279256627
fall;riparia;2006-09-19 15:19:33;2.697258802497518
fall;riparia;2006-09-19 17:04:24;2.4696870746341455
spring;berlandieri;2006-06-21 04:28:57;1.7601772999345862
spring;berlandieri;2006-06-21 08:27:03;2.769427814247188
spring;berlandieri;2006-06-21 11:53:22;5.439658657189007
spring;berlandieri;2006-06-21 13:16:51;5.8379308714774805
spring;berlandieri;2006-06-21 14:30:58;5.79655447772026
spring;berlandieri;2006-06-21 16:12:46;5.630248095623502
spring;berlandieri;2006-06-21 17:46:20;4.763496055801376
spring;berlandieri;2006-06-21 20:27:22;3.265549423241512
spring;riparia;2006-06-21 04:31:42;1.7143277305629105
spring;riparia;2006-06-21 08:25:35;2.7313248275321413
spring;riparia;2006-06-21 11:50:37;6.333810459848347
spring;riparia;2006-06-21 13:13:55;6.67321398145571
spring;riparia;2006-06-21 14:32:26;7.220375985467586
spring;riparia;2006-06-21 16:11:29;6.783205745514323
spring;riparia;2006-06-21 17:46:20;5.047062751822855
spring;riparia;2006-06-21 20:27:22;3.3064468228551878
